player_total,dealer_card,action,q_value
13,2,0,-0.5214935496168736
13,2,1,-0.5656652396904298
13,10,0,-0.750230666310272
13,10,1,-0.39445287240733573
13,9,0,-0.7047386774916459
13,9,1,-0.3484216551742565
7,5,0,-0.3534317751671
7,5,1,0.01103963985631063
8,3,0,-0.16496537378760998
8,3,1,0.0016336712140974236
11,3,0,0.06411524278879364
11,3,1,0.12549380817548653
12,4,0,-0.5516376434267497
12,4,1,-0.511614443589954
8,7,0,-0.5968671451431435
8,7,1,0.04332928058841365
14,10,0,-0.6991430825946342
14,10,1,-0.45626474808568995
15,3,0,-0.3230401567054412
15,3,1,-0.6417444428027889
9,9,0,-0.46625155133877105
9,9,1,-0.028976028736409223
11,8,0,-0.29125570281673296
11,8,1,0.13747362417155357
16,4,0,-0.2742968753265731
16,4,1,-0.659282013509066
15,10,0,-0.6221435213038808
15,10,1,-0.7243791872935654
20,7,0,0.5276348968204572
20,7,1,-0.7611536584290686
18,4,0,-0.254931078985566
18,4,1,-0.2734387450563158
20,10,0,0.24680608440582294
20,10,1,-0.9408939556483203
21,10,0,0.7562834654454204
21,10,1,-0.20457705777547996
10,10,0,-0.9127655820404558
10,10,1,-0.1343200305148809
15,4,0,-0.6667391143786567
15,4,1,-0.23700003611463505
19,4,0,0.7613683547748888
19,4,1,-0.2770993175758877
21,4,0,0.8760859144512069
21,4,1,-0.36629607703049033
19,10,0,-0.07947859672271035
19,10,1,-0.6729936307346149
5,10,0,-0.7259680295973557
5,10,1,-0.2918654722909557
17,10,0,-0.3659026266545261
17,10,1,-0.8165594628193109
13,8,0,-0.7127922806740482
13,8,1,-0.5997401732267357
13,6,0,-0.40005899924034666
13,6,1,-0.12896254936223717
18,7,0,0.5292037592157736
18,7,1,-0.6541487643365487
16,2,0,-0.5834997672456567
16,2,1,-0.5094779183177293
10,1,0,-0.5649622930948159
10,1,1,-0.3424746844936966
14,5,0,-0.19597520903731158
14,5,1,-0.3911835647426026
17,9,0,-0.5393547333743562
17,9,1,-0.7273855250144531
20,9,0,0.6080239426940158
20,9,1,-0.9217393033208708
14,9,0,-0.7049128042792574
14,9,1,-0.2361864500993204
17,6,0,0.2702711746047964
17,6,1,-0.581749623549286
9,5,0,-0.0253046491224497
9,5,1,0.17498530823919115
16,10,0,-0.9424732074262967
16,10,1,-0.698141999145135
9,4,0,-0.04390218131626987
9,4,1,0.03927223911157743
7,9,0,-0.6395252171671001
7,9,1,-0.18373833956343782
9,10,0,-0.5061132438699161
9,10,1,-0.16964896313140856
12,10,0,-0.9461644263263908
12,10,1,-0.21688623971245746
12,7,0,-0.45712142425261604
12,7,1,-0.13769878156695586
10,4,0,-0.10187197557551683
10,4,1,0.2240745140305823
16,7,0,-0.5912482255412129
16,7,1,-0.4516033590872001
14,2,0,-0.24923149637578323
14,2,1,-0.5799464125405885
9,8,0,-0.5687717604995087
9,8,1,0.019921157102339146
20,8,0,0.8710904052390082
20,8,1,-0.7360632979374824
21,5,0,0.8739207710338922
21,5,1,-0.16691226583010713
15,8,0,-0.7960615875797084
15,8,1,-0.33284822233014894
18,10,0,-0.1813372498873047
18,10,1,-0.7101539068261368
7,1,0,-0.7678716045281001
7,1,1,-0.49737827487780983
20,4,0,0.4692764893061684
20,4,1,-0.5861640381987195
12,8,0,-0.7336205026711733
12,8,1,-0.2763715747248951
12,1,0,-0.7550646714549339
12,1,1,-0.6375943788536229
21,1,0,0.533905192875729
21,1,1,-0.5653244747460849
13,5,0,-0.5422414452037436
13,5,1,-0.06467110129554193
21,8,0,0.9465877619653927
21,8,1,-0.27894964738234174
20,1,0,0.13076423277192512
20,1,1,-0.6115285435168829
14,4,0,-0.5796828299921657
14,4,1,-0.831340922354123
17,8,0,-0.338613436846414
17,8,1,-0.4089742905596363
7,10,0,-0.730540383086945
7,10,1,-0.36246560851410226
9,1,0,-0.587143245485001
9,1,1,-0.2880089788311541
15,9,0,-0.7128116548104139
15,9,1,-0.33770688451137587
10,9,0,-0.44440296060915097
10,9,1,0.3068877645348195
12,3,0,-0.6080880286886995
12,3,1,-0.030561093382398194
11,2,0,-0.1156269081638024
11,2,1,0.19502811869786132
10,2,0,-0.2042727115939603
10,2,1,-0.046725505790948064
11,7,0,-0.4418074335626059
11,7,1,0.3800138678444732
17,3,0,0.27911293228436196
17,3,1,-0.684440794571929
7,7,0,-0.44195497306381004
7,7,1,0.05103320857347978
6,10,0,-0.666720381657141
6,10,1,-0.34817293745555983
16,9,0,-0.659887162219974
16,9,1,-0.5080162893791836
18,6,0,0.03952154751156678
18,6,1,-0.24407577891124738
19,8,0,0.7411960593074988
19,8,1,-0.6538505869768308
19,5,0,0.12737985746495967
19,5,1,-0.43418404650425046
14,3,0,-0.06526747972190818
14,3,1,-0.6730461162586077
9,6,0,0.013775410000000002
9,6,1,0.13156444472989207
4,10,0,-0.4838267444901946
4,10,1,-0.3895973122195264
11,6,0,-0.29203717321960826
11,6,1,0.3125763744675276
20,3,0,0.5520703995860963
20,3,1,-0.7755528868682063
14,6,0,0.2016688510430835
14,6,1,-0.47180021496938207
5,1,0,-0.6513215599000001
5,1,1,-0.3899787827933245
11,1,0,-0.8814977488336827
11,1,1,-0.12607773806294176
7,3,0,-0.46855900000000006
7,3,1,-0.07660024899245502
13,1,0,-0.8881545990440357
13,1,1,-0.4972138490530171
19,9,0,0.29557719441856484
19,9,1,-0.5475816162917501
16,5,0,-0.2380645902259783
16,5,1,-0.3769233765918086
18,3,0,0.14409190652655238
18,3,1,-0.6161115592529357
21,6,0,0.9491455631742346
21,6,1,-0.3361144440123908
16,1,0,-0.8746411971914809
16,1,1,-0.47579721081180276
18,5,0,0.14242171847260765
18,5,1,-0.770457120406989
21,2,0,0.9225836179511082
21,2,1,-0.56856934901733
12,9,0,-0.5528213220771695
12,9,1,-0.12324085321384286
21,9,0,0.8556093836853991
21,9,1,-0.6190258076604671
20,6,0,0.6952713604751433
20,6,1,-0.6954528616678294
8,6,0,-0.08566501680985784
8,6,1,0.08840054044201487
15,6,0,-0.08689804294052729
15,6,1,-0.5142648304344372
10,7,0,-0.29461700743039004
10,7,1,0.2830383562993993
11,10,0,-0.4025482622357728
11,10,1,0.16590189525636878
15,1,0,-0.8973339364623534
15,1,1,-0.6711198999970813
8,5,0,-0.3013301179
8,5,1,0.09546670471337422
19,2,0,0.2431264240553348
19,2,1,-0.5138089318419932
6,6,0,-0.46855900000000006
6,6,1,-0.17106349060034598
10,6,0,-0.5480931468236441
10,6,1,0.21468332991650768
16,6,0,-0.7994708424932202
16,6,1,-0.6353386139368216
12,2,0,-0.5580964465403606
12,2,1,-0.3478847718699443
13,7,0,-0.696734318542781
13,7,1,-0.1869126791421719
6,7,0,-0.288559
6,7,1,-0.11718314565399955
17,5,0,-0.06894640696708028
17,5,1,-0.5375850313652664
17,2,0,-0.5908621010628178
17,2,1,-0.6828925121065355
8,10,0,-0.44264094744962224
8,10,1,-0.29763282879617037
11,5,0,0.2736997478199365
11,5,1,0.10318391647153638
19,6,0,0.4531380687768365
19,6,1,-0.48141006489425414
7,2,0,-0.48526303835677403
7,2,1,-0.15460458290298965
16,3,0,-0.17084351355539193
16,3,1,-0.8311404867299211
21,7,0,0.8739770978896243
21,7,1,-0.33575625450003077
10,5,0,-0.05749893381543959
10,5,1,0.3052082206657565
17,1,0,-0.7896043651161937
17,1,1,-0.8364522269753697
14,1,0,-0.9091142299979084
14,1,1,-0.39578307328680323
8,2,0,-0.5886535323527774
8,2,1,-0.00608779668388043
20,5,0,0.8391565177296895
20,5,1,-0.9230151592595677
11,9,0,-0.4511903992262975
11,9,1,0.2210205318365864
9,2,0,0.0017324155016760073
9,2,1,-0.025453950813103865
18,2,0,0.22721689804944445
18,2,1,-0.4673377850147994
15,2,0,-0.7024038054137258
15,2,1,-0.2799850054282218
17,4,0,-0.1310149169610986
17,4,1,-0.5230089369734513
12,5,0,-0.48092260666651204
12,5,1,-0.015351724323649202
12,6,0,-0.6077181150811207
12,6,1,-0.31242203066880575
7,6,0,-0.4149414571089548
7,6,1,-0.055259022435911735
13,3,0,-0.5031507116072389
13,3,1,-0.0680914907295542
14,8,0,-0.7008967616769891
14,8,1,-0.24391275978414068
18,8,0,0.14061336952434436
18,8,1,-0.6507637297968831
6,1,0,-0.744962293094816
6,1,1,-0.4487649251293794
13,4,0,0.13540093344275
13,4,1,-0.46117214089601966
10,8,0,-0.7004847485560032
10,8,1,0.17850419876428184
6,8,0,-0.2745220569438296
6,8,1,-0.13357419778243917
17,7,0,-0.13555999184902107
17,7,1,-0.7429749982184155
18,1,0,-0.13469035525904383
18,1,1,-0.6107572147646887
6,2,0,-0.2587642871471001
6,2,1,-0.16638477971877697
19,3,0,0.4606527457817212
19,3,1,-0.6052515187098589
16,8,0,-0.59701367140618
16,8,1,-0.3243394205979474
8,1,0,-0.7286045391148159
8,1,1,-0.35153549555180313
20,2,0,0.2892792224858124
20,2,1,-0.9125415329709168
11,4,0,-0.2949694709919828
11,4,1,0.3431427398801027
21,3,0,0.9552680363723632
21,3,1,-0.2820162074407872
18,9,0,0.25114305548794524
18,9,1,-0.5757991096574816
14,7,0,-0.7193569849809583
14,7,1,-0.2862642918528562
8,4,0,-0.38041834914709993
8,4,1,-0.09832228381791194
8,8,0,-0.6144466663944701
8,8,1,-0.05065710023304648
5,5,0,-0.15406174612471593
5,5,1,-0.12951310071203548
9,7,0,-0.46410693774817097
9,7,1,0.05512568432995024
15,7,0,-0.7292770341561706
15,7,1,-0.6744040897230603
6,4,0,-0.358013083519
6,4,1,-0.1238339034842575
7,4,0,-0.288559
7,4,1,-0.1382307411763956
19,1,0,0.0244712112681027
19,1,1,-0.6266287640628161
19,7,0,0.18923218550294063
19,7,1,-0.18596364297150358
15,5,0,-0.5896772403126878
15,5,1,-0.40057880651765676
6,5,0,-0.31454914611263063
6,5,1,-0.10731488859625578
10,3,0,-0.6337647776998699
10,3,1,0.2170809283444742
6,3,0,-0.2576362919300975
6,3,1,-0.12692273501045864
4,1,0,-0.55496940391
4,1,1,-0.4339391221425122
5,2,0,-0.33635602958761
5,2,1,-0.16895166830379188
7,8,0,-0.326976085889084
7,8,1,-0.25602608931876797
9,3,0,-0.003315194851810657
9,3,1,0.14962827244891314
8,9,0,-0.528081476683001
8,9,1,-0.11010735850728973
4,6,0,-0.16684939428730228
4,6,1,-0.036078527533840464
4,5,0,-0.1763487379
4,5,1,-0.09395658423852228
6,9,0,-0.4781780821
6,9,1,-0.28583899117013456
4,3,0,-0.23156278792910004
4,3,1,-0.08881531721541008
4,4,0,-0.440251227024571
4,4,1,-0.1540207986987046
5,9,0,-0.3936621799
5,9,1,-0.24788323428051842
5,7,0,-0.27387341
5,7,1,-0.08168808836223654
5,3,0,-0.22569865598849892
5,3,1,-0.03981008052004527
5,6,0,0.24183904964544128
5,6,1,-0.13219927468699333
5,8,0,-0.34227228890869393
5,8,1,-0.2572466502599338
4,7,0,-0.271
4,7,1,-0.1106445321882194
4,9,0,-0.271
4,9,1,-0.20045562628799712
5,4,0,-0.28205054186581
5,4,1,-0.17105137448373287
4,2,0,-0.271
4,2,1,-0.10750409895446313
4,8,0,-0.20838806899999998
4,8,1,-0.11248559025627423
